word,definition,ner,root_word,pos
BULLET,"a metal projectile for firing from a rifle, revolver, or other small firearm, typically cylindrical and pointed, and sometimes containing an explosive",,bullet,NN
JUNE,"sixth month of year, in northern hemisphere",,june,NN
CONTINUE,persist in activity,,continue,NN
FORWARD,onward so as to make progress,,forward,RB
MISSOURI,"state of US, bounded on east by Mississippi River",I-LOC,missouri,NN
SEPERATE,forming or viewed as unit apart or by itself,,seperate,NN
BROOK,a small stream,,brook,NN
TEN,equivalent to product of five and two,,ten,NNS
PANTS,trousers,,pant,NNS
LESSONS,period of learning or teaching,,lesson,NNS
BURGER-KING,Burger King Corporation is an American multinational chain of hamburger fast food restaurants.,,burger-king,NN
LINES,mark with lines,,line,NNS
CONTRACT,agreement intended to be legally enforceable,,contract,NN
BUSINESS,person's regular occupation etc.,,business,NN
GRASS,vegetation consisting of short plants with long narrow leaves,,grass,NN
BRAID,interlaced length of hair,,braid,NN
LOST,that has been taken away or cannot be recovered,,lost,VBN
BOTTOM,in lowest position,,bottom,NN
AWAKE,stop sleeping,,awake,NN
SKY,region of atmosphere and outer space seen from earth,,sky,NN
LIGHT,device for producing flame,,light,NN
CASE,a container designed to hold or protect something,,case,NN
CORRECT,free from error,,correct,NN
J,tenth letter of alphabet,,j,NN
CANADA,"second largest country in world, covering entire northern half of North America with exception of Al",I-LOC,canada,NN
INSTALL,place or fix equipment or machinery in position ready for use,,install,NN
APPLY,make formal application,,apply,VB
LIST 4,a list of four options in ASL,,list 4,NN
CLEAR,easy to understand,,clear,JJ
REAR,back part of something,,rear,NN
EXPERIENCE,event or occurrence which makes impression,,experience,NN
BASIS,underlying support or foundation for idea or process,,basis,NN
WHY,used to add emphasis to response,,why,WRB
SEE,discern or deduce after reflection or from information,,see,VB
CONTRACTS,agreement intended to be legally enforceable,,contract,NNS
CAN'T,cannot,,can't,NN
LIKE,similar to,,like,IN
ONE,lowest cardinal number,,one,CD
WEBSITE,set of related web pages located under single domain name,,website,NN
HOCKEY,team game between players using hooked sticks to drive ball towards goal,,hockey,NN
PROVIDERS,person or thing that provides something,,provider,NNS
MASSIVE,exceptionally large,,massive,JJ
DO,perform action,,do,VB
DASH,a horizontal stroke in writing or printing to mark a pause or break in sense or to represent omitted letters or words,,dash,NN
ARKANSAS,state of south central US,I-LOC,arkansas,NNS
DISCOUNT,deduction from usual cost,,discount,NN
EAST,direction where sun rises,,east,NN
DAUGHTER,girl in relation to parents,,daughter,NN
CLICK,make click,,click,NN
WELLINGTON,"the capital of New Zealand, situated at the southern tip of the North Island; population 179,463 (2006). It became the capital in 1865, when the seat of government was moved from Auckland",I-LOC,wellington,NN
SPIDER,eight-legged predatory arachnid,,spider,NN
PROTECT,keep safe from harm or injury,,protect,NN
STILL,up to and including present or time mentioned,,still,RB
FRONT YARD,piece of uncultivated ground adjoining building,,front yard,NN
FOCUS,pay particular attention to,,focus,NN
STORY,account of imaginary or real people,,story,NN
POSSIBLE,able to be done,,possible,JJ
TOUR,journey for pleasure in which several different places are visited,,tour,NN
DELAY,make late or slow,,delay,NN
SLEEPING BAG,"a thick warm bag that you use for sleeping in, for example when you are camping",,sleeping bag,NN
PREACHER,person who preaches,,preacher,NN
YOU ALL,used to refer to person or people that speaker is addressing,,you all,NN
ARAB,relating to Arabian people,I-MISC,arab,NN
COUPLE,two similar people or things,,couple,NN
PROBLEM,unwelcome or harmful matter,,problem,NN
RELIGION,"the belief in and worship of a superhuman power or powers, especially a God or gods",,religion,NN
ELBOWS DOWN,airplane brace position act.,,elbows down,NN
ABOLITION,"the action of abolishing a system, practice, or institution",,abolition,NN
SAND,loose granular substance resulting from erosion of siliceous and other rocks,,sand,NN
BOOGIE,dance to pop or rock music,,boogie,NN
UPRIGHT,sitting or standing with back straight,,upright,JJ
NEXT MONTH,the following month or coming month,,next month,NN
BLENDER,electric mixing machine,I-ORG,blender,NN
SEE,perceive with eyes,,see,VB
DRINK,swallow liquid,,drink,NN
APOSTROPHE,punctuation mark used to indicate either possession,,apostrophe,NN
ACCIDENT,unexpected incident,,accident,NN
ADOLESCENCE,period following onset of puberty during which young person develops from child into adult,,adolescence,NN
IRAQ,"country in Middle East, on Persian Gulf",I-LOC,iraq,NN
LIST OF THREE,number of items written or printed consecutively,,list of three,NN
WASH HANDS,clean with water and soap or detergent,,wash hands,NNS
ADVISOR,a person who gives advice in a particular field,,advisor,NN
CONTINUED,without break in continuity,,continued,JJ
BIZARRE,very strange or unusual,,bizarre,NN
LOWEST,of less than average height from top to bottom or to the top from the ground.,,lowest,JJS
HISPANIC,"a Spanish-speaking person, especially one of Latin American descent, living in the US",I-MISC,hispanic,JJ
ABUSE,treat badly,,abuse,NN
CONCEPT,abstract idea,,concept,NN
LEAK,hole through which contents may leak,,leak,NN
ROOF,structure forming upper covering of building or vehicle,,roof,NN
WHERE,in or to what place or position,,where,WRB
RELAX,make or become less tense or anxious,,relax,NN
DEPOSIT,sum payable as first instalment,,deposit,NN
BOOST,help something to increase,,boost,NN
MODEL,example to follow or imitate,,model,NN
ANSWER,thing said in response to another,,answer,NN
WEIGHTLIFTING,sport or activity of lifting barbells or other heavy weights,,weightlifting,VBG
AVIATION,flying or operating of aircraft,,aviation,NN
FEW,small number of,,few,JJ
TORNADO,"mobile, destructive vortex of violently rotating winds having appearance of funnel-shaped cloud",,tornado,NN
ALL,completely,,all,DT
WHO,what or which person or people,,who,WP
APPLAUD,show approval or praise by clapping,,applaud,NN
BABY,very young child,,baby,NN
HIS,relating to male person or animal,,his,PRP$
HALL,room inside entrance of house etc.,,hall,NN
SING,make musical sounds with voice,,sing,VBG
BICEPS,any of several muscles having two points of attachment at one end,,biceps,NNS
OWNER,person who owns something,,owner,NN
COST,amount paid,,cost,NN
MISSOURI,"a major river of North America, one of the main tributaries of the Mississippi River. It rises in the Rocky Mountains in Montana and flows 3,736 km (2,315 miles) to meet the Mississippi just north of St Louis",I-LOC,missouri,NN
COMMON SENSE,good sense and sound judgment in practical matters.,,common sense,NN
CARDS,piece of stiff paper,,card,NNS
BABYSITTER,person who looks after child or children while parents are out,,babysitter,NN
AVERAGE,number expressing the central or typical value in a set of data,,average,JJ
SO-SO,not particularly good or bad; average,,so-so,NN
BLANK FACE,"A blank expression, also known as a poker face, is a facial expression characterized by neutral positioning of the facial features, implying a lack of strong emotion.",,blank face,NN
FAR,at or to great distance,,far,RB
VETERANS DAY,"a holiday in the US on 11 November, in honour of members of the armed forces and others who have died in war",,veterans day,NN
TECHNOLOGY,application of scientific knowledge for practical purposes,,technology,NN
BILL,statement of money owed,,bill,NN
BELATED,coming or happening later than should have been case,,belated,VBN
DIAMOND RING,precious stone ring,,diamond ring,VBG
CLEAN,free from dirt,,clean,NN
MYSQL,open-source relational database management system,I-ORG,mysql,NN
MECHANIC,skilled worker who repairs and maintains vehicle engines,,mechanic,NN
SECRETARY,"person employed by individual or in office to assist with correspondence, make appointments, and car",,secretary,NN
LIST,number of items written or printed consecutively,,list,NN
ABOVE,over and not touching,,above,IN
FIFTH OPTION,constituting number five in sequence,,fifth option,NN
OLD,of specified age,,old,JJ
ADMIRE,regard with respect or warm approval,,admire,NN
RUN,move at speed faster than walk,,run,VB
MONEY,coins and banknotes,,money,NN
PRESIDENTS' DAY,"(in the US) a legal holiday on the third Monday in February, in memory of the birthdays of George Washington and Abraham Lincoln",,presidents' day,NN
OPEN ARM REST,airplane safety procedure equiptment location in seat arm rest,,open arm rest,JJS
BROWN,brown colour or pigment,I-MISC,brown,NN
NEVADA,state of western US,I-LOC,nevada,NN
THEN,after that,,then,RB
APART,separated by distance,,apart,RB
TERRITORY,an area of land under the jurisdiction of a ruler or state,,territory,NN
TRUE,accurate or exact,,true,JJ
THROW,propel something with force through air by movement of arm and hand,,throw,NN
KEY,implement for opening or closing lock,,key,NN
UNITED KINGDOM,country of western Europe,I-LOC,united kingdom,NN
SHOCK,sudden upsetting or surprising event or experience,,shock,NN
EDUCATION,process of educating or being educated,,education,NN
SHARE,part or portion of larger amount which is divided,,share,NN
SKIN,the thin layer of tissue forming the natural outer covering of the body of a person or animal,,skin,NN
APPROPRIATE,suitable or proper in circumstances,,appropriate,NN
STREAMING,method of relaying data over computer network as steady continuous stream,,streaming,VBG
FEET,lower extremity of leg below ankle,,foot,NNS
WILL,expressing future tense,,will,MD
BRIDESMAID,girl or woman who accompanies bride on her wedding day,,bridesmaid,NN
FIVE,equal to sum of two and three,,five,CD
DEEP,extending far down,,deep,NN
UNDERSTAND,perceive intended meaning of,,understand,NN
BIRD WATCHING,observation of birds in their natural habitats as hobby,,bird watching,NN
PLAN,detailed proposal,,plan,NN
FALL IN LOVE,develop a deep romantic attachment to someone,,fall in love,NN
SEAT BELT,a belt that is attached to the seat in a car or plane and that you fasten around yourself so that you are not thrown out of the seat if there is an accident,,seat belt,NN
SURVEY,investigate opinions or experience of group of people by asking them questions,,survey,NN
ADORE,love and respect someone deeply,,adore,NN
SPORTS,activity in which individual or team competes against another,,sport,NNS
MISSED,to get wrong from guessing,,missed,VBN
TIRED,in need of sleep or rest,,tired,VBN
IGNORE,refuse to take notice of or acknowledge,,ignore,NN
BARTENDER,person serving drinks at bar,,bartender,NN
AGGREGATE,form or group into a class or cluster,,aggregate,NN
WARNING,statement or event that warns of something or that serves as cautionary example,,warning,VBG
FINISH,complete task or activity,,finish,NN
LINE,long mark or band,,line,NN
LEVELS,a horizontal planes or lines with respect to the distance above or below a given point,,level,NNS
THEATRE,building where plays are staged,,theatre,NN
DOG,domesticated carnivorous mammal,I-MISC,dog,NN
AMUSEMENT,state of being amused,,amusement,NN
HUMILIATE,make someone feel ashamed and foolish by injuring their dignity and pride,,humiliate,NN
APPLICATION,the action of putting something into operation,,application,NN
OREGON,state in north-western US,I-LOC,oregon,NN
ECONOMY,careful management of resources,,economy,NN
PURPLE,colour between red and blue,,purple,NN
COMFORTABLE,providing physical ease,,comfortable,JJ
BACK,as before,,back,RB
EMERGENCY,serious and unexpected situation,,emergency,NN
RESEARCH,investigate systematically,,research,NN
CAN,have ability,,can,MD
UNDERSTAND,perceive intended meaning of,,understand,NN
ROLE,"actor's part in play, film",,role,NN
MENU,list of dishes available in restaurant,,menu,NN
ASIAN,native of Asia or person of Asian descent,I-MISC,asian,JJ
BABYDOLL,doll designed to look like baby,,babydoll,NN
OFFERS,present for someone to accept or reject,,offer,NNS
FRIDAY,day of week before Saturday and following Thursday,,friday,NN
STEAL,take another person's property without permission or legal right,,steal,NN
CIRCLE,shape,,circle,NN
BOARD,thin rectangular piece of stiff material,,board,NN
TRIPLE,three times as much or as many,,triple,NN
EXIT,way out,,exit,NN
FIRST,coming before all others,,first,RB
STUPID,lacking intelligence or common sense,,stupid,JJ
MOVING,in motion,,moving,VBG
BULGE,a rounded swelling or protuberance that distorts a flat surface,,bulge,NN
OF COURSE,used to introduce idea or action as being obvious or to be expected,,of course,NN
ORDER,authoritative command,,order,NN
BROKEN-HEART,"used in reference to a state of extreme grief or sorrow, typically caused by the death of a loved one or the ending of a romantic relationship",,broken-heart,NN
ACQUIRE,buy or obtain asset or object for oneself,,acquire,VB
OUR,belonging to speaker and one or more others people,,our,PRP$
ANGRY,feeling or showing strong annoyance or hostility,,angry,JJ
NOTICE,observing or paying attention to something,,notice,NN
TRUCK,large road vehicle used for carrying goods or troops,,truck,NN
E,fifth letter of alphabet,,e,NN
EXCEED,be greater in number or size than,,exceed,NN
