word,definition
ADORE,love and respect someone deeply
SPORTS,activity in which individual or team competes against another
MISSED,to get wrong from guessing
TIRED,in need of sleep or rest
IGNORE,refuse to take notice of or acknowledge
BARTENDER,person serving drinks at bar
AGGREGATE,form or group into a class or cluster
WARNING,statement or event that warns of something or that serves as cautionary example
FINISH,complete task or activity
LINE,long mark or band
LEVELS,a horizontal planes or lines with respect to the distance above or below a given point
THEATRE,building where plays are staged
DOG,domesticated carnivorous mammal
AMUSEMENT,state of being amused
HUMILIATE,make someone feel ashamed and foolish by injuring their dignity and pride
APPLICATION,the action of putting something into operation
OREGON,state in north-western US
ECONOMY,careful management of resources
PURPLE,colour between red and blue
COMFORTABLE,providing physical ease
BACK,as before
EMERGENCY,serious and unexpected situation
RESEARCH,investigate systematically
CAN,have ability
UNDERSTAND,perceive intended meaning of
ROLE,"actor's part in play, film"
MENU,list of dishes available in restaurant
ASIAN,native of Asia or person of Asian descent
BABYDOLL,doll designed to look like baby
OFFERS,present for someone to accept or reject
FRIDAY,day of week before Saturday and following Thursday
STEAL,take another person's property without permission or legal right
CIRCLE,shape
BOARD,thin rectangular piece of stiff material
TRIPLE,three times as much or as many
EXIT,way out
FIRST,coming before all others
STUPID,lacking intelligence or common sense
MOVING,in motion
BULGE,a rounded swelling or protuberance that distorts a flat surface
OF COURSE,used to introduce idea or action as being obvious or to be expected
ORDER,authoritative command
BROKEN-HEART,"used in reference to a state of extreme grief or sorrow, typically caused by the death of a loved one or the ending of a romantic relationship"
ACQUIRE,buy or obtain asset or object for oneself
OUR,belonging to speaker and one or more others people
ANGRY,feeling or showing strong annoyance or hostility
NOTICE,observing or paying attention to something
TRUCK,large road vehicle used for carrying goods or troops
E,fifth letter of alphabet
EXCEED,be greater in number or size than
A WEEK AGO,"A week ago means 7 days ago (or thereabouts). Last week means last calendar week. If it is Sunday, the day before (Saturday) is part of last week."
ASKEW,not in straight or level position
PROGRAM,small book or sheet of paper that gives information about the play or concert you are attending.
C,third letter of alphabet
RHODE ISLAND,"state in north-eastern US, on Atlantic coast"
TOLD,communicated information to someone in spoken or written words
BORN,come to exist as result of birth
ASL EXPRESSION,an expression of ASL
SEAFOOD,"shellfish and sea fish, served as food"
BAR,establishment where alcohol is served
ACTIVITY,condition in which things happen
NEW YORK,state in north-eastern US
ALLIGATOR,large semiaquatic reptile similar to crocodile but with broader and shorter head
SHOULDER,upper joint of each of person's arms and part of body between this and neck
CAUCASIAN,white person
COUNTRIES,"a nation with its own government, occupying a particular territory"
MONTH,each of twelve named periods into which year is divided
BULL,an uncastrated male bovine animal
TIDY,arranged neatly and in order
INFRASTRUCTURE,basic physical and organizational structures and facilities
ENTREPRENEUR,"person who sets up business or businesses, taking on financial risks in hope of profit"
HOPE,want thing to happen
SUBTRACT,take away number or amount from another to calculate difference
IMAGINE,form mental image of
FINISH,complete task or activity
SURE,certainly
MATCH,make or be harmonious
BRAKES,devices for stopping vehicle
AGILITY,ability to move quickly
MOON,natural satellite of the earth
AND,used to introduce additional comment or interjection
DESIGNER,person who plans look or workings of something
AWAY,to or at a distance
GOLD,yellow or yellow-brown colour
SUPPOSE,think or assume that something is true or probable but lack proof
ARIZONA,"state of south-western US, on border with Mexico"
PINK,of colour between red and white
IN,expressing situation of being enclosed
LESSON,period of learning or teaching
RECOMMEND,put forward person or thing with approval as being suitable for particular purpose or role
ENVIROMENT,surroundings of living thing
BLEND IN,to look or seem the same as surrounding people or things and therefore not be easily noticeable
THIRD,constituting number three in sequence
BROKE,having completely run out of money
WHILE,period of time
ANYHOW,in careless or haphazard way
TAX,"compulsory contribution to state revenue, levied by government on workers' income and business profi"
WATCH,small timepiece worn on strap on one's wrist
BEE STING,wound from being stung by bee
EVENING,time at end of day
BLAH,something boring or not meaningful
RIGHT,moral or legal entitlement to have or do something
TIDY,act or spell of tidying something
EXPLOSIVE,able or likely to explode
DEMAND,ask authoritatively
BOY,young man
SMELL,faculty or power of perceiving odours or scents by means of organs in nose
COMMUNICATE,exchange information or ideas
ELBOW,joint of arm
HANDLE,manage situation
RIVER,large natural stream of water flowing in channel to sea
ENVIRONMENT,natural world
BELOW,at lower level than
TURN ON,start flow or operation of something by means of tap or button
ARCHITECTURE,art of designing buildings
INFORMATION,facts provided or learned
ASPECT,the positioning of a building or other structure in a particular direction
FINISH,complete task or activity
MORGAN WILLIS,Morgan Willis from AWS
BREATHE,take air into lungs and then expel it
REQUEST,act of asking politely or formally for something
HAT,shaped covering for head
THEY TWO,used to refer to two or more people or things previously mentioned or easily identified
ANGRY,feeling or showing strong annoyance or hostility
BRAWLER,person who engages in rough fights
WASH HANDS,clean with water and soap or detergent
ANCHORPERSON,anchorman or anchorwoman
RULE,regulation or principle governing conduct or procedure
IMAGINE,form mental image of
YOU,used to refer to any person in general
MIND,faculty of consciousness and thought
ACTUALLY,as truth or facts
WILL,expressing future tense
UPLOAD,transfer data to larger computer system
EXPLAIN,make idea or situation clear to someone by describing it in more detail
A LITTLE BIT,a small amount.
ATLANTA,state capital of Georgia in US
SMALL,of size that is less than normal or usual
WILL,expressing future tense
MORNING,time between midnight and noon
TABLET,small flat portable computer
SNACK,small amount of food eaten between meals
TRUE,truly
DIAPER,put nappy on
COMMENT,remark expressing opinion
SALES,period during which shop sells goods at reduced prices
EASY,achieved without great effort
LOBSTER,large marine crustacean
DEPART,leave
FISHING,"activity of catching fish, either for food or as sport"
PLAN,detailed proposal
COMPUTER,electronic device for storing and processing data
BREASTFEED,feed baby with milk from breast
POLICE STATION,location for the office of policemen
INSIDE,inner part
LEAVING,go away from
EVERYDAY,happening or used every day
wig,covering for head made of real or artificial hair
SHEEP,domesticated mammal with thick woolly coat
YOU,used to refer to person or people that speaker is addressing
SENSITIVE,quick to detect or respond to slight changes or influences
SEEK,attempt to find
ROOM,space that can be occupied or where something can be done
WOW,expressing astonishment or admiration
DEPOSIT,sum paid into bank
STEPSISTER,daughter of one's step-parent by marriage other than with one's own father or mother
ALL CHILDREN HAVE FUN,a group of Children having fun
GIVES,transfer possession of something to
